"chr"	"start"	"end"	"width"	"strand"	"annotation"	"geneCh"	"geneStart"	"geneEnd"	"geneLen"	"geneStr"	"geneID"	"distanceToTSS"	"MACSqValue"	"SRX_ID"	"TF"	"cell_type"
"chr2"	"1742682"	"1743295"	"614"	"*"	"Promoter (1-2kb)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"1557"	1000	"SRX2207672"	"RELA"	"HUVEC"
"chr2"	"1742706"	"1743185"	"480"	"*"	"Promoter (1-2kb)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"1667"	157	"SRX8588623"	"SMARCA4"	"Pulmonaryarteryendothelialcells"
"chr2"	"1742706"	"1743323"	"618"	"*"	"Promoter (1-2kb)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"1529"	1000	"SRX2207673"	"RELA"	"HUVEC"
"chr2"	"1742714"	"1742987"	"274"	"*"	"Promoter (1-2kb)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"1865"	184	"SRX8588624"	"SMARCA4"	"Pulmonaryarteryendothelialcells"
"chr2"	"1742733"	"1743172"	"440"	"*"	"Promoter (1-2kb)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"1680"	127	"SRX8588625"	"SMARCA4"	"Pulmonaryarteryendothelialcells"
"chr2"	"1742748"	"1743175"	"428"	"*"	"Promoter (1-2kb)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"1677"	241	"SRX8588626"	"SMARCA4"	"Pulmonaryarteryendothelialcells"
"chr2"	"1742752"	"1743405"	"654"	"*"	"Promoter (1-2kb)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"1447"	463	"SRX3040158"	"SMC1A"	"Coronaryarteryendothelialcells"
"chr2"	"1742756"	"1743009"	"254"	"*"	"Promoter (1-2kb)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"1843"	649	"SRX5527658"	"ERG"	"HUVEC"
"chr2"	"1742760"	"1742975"	"216"	"*"	"Promoter (1-2kb)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"1877"	254	"SRX8588639"	"KLF4"	"Pulmonaryarteryendothelialcells"
"chr2"	"1742769"	"1742993"	"225"	"*"	"Promoter (1-2kb)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"1859"	154	"SRX3601957"	"ERG"	"HUVEC"
"chr2"	"1742770"	"1743026"	"257"	"*"	"Promoter (1-2kb)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"1826"	212	"SRX2207671"	"RELA"	"HUVEC"
"chr2"	"1742771"	"1743342"	"572"	"*"	"Promoter (1-2kb)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"1510"	183	"SRX7055007"	"RELA"	"HAEC"
"chr2"	"1742773"	"1742995"	"223"	"*"	"Promoter (1-2kb)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"1857"	561	"SRX393516"	"TAL1"	"Primaryendothelialcells"
"chr2"	"1742774"	"1743017"	"244"	"*"	"Promoter (1-2kb)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"1835"	244	"SRX2207670"	"RBPJ"	"HUVEC"
"chr2"	"1742775"	"1743299"	"525"	"*"	"Promoter (1-2kb)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"1553"	125	"SRX8588640"	"KLF4"	"Pulmonaryarteryendothelialcells"
"chr2"	"1742776"	"1743080"	"305"	"*"	"Promoter (1-2kb)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"1772"	134	"SRX14688734"	"TEAD1"	"HUVEC"
"chr2"	"1742778"	"1742979"	"202"	"*"	"Promoter (1-2kb)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"1873"	454	"SRX3601958"	"ERG"	"HUVEC"
"chr2"	"1742785"	"1742957"	"173"	"*"	"Promoter (1-2kb)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"1895"	170	"SRX393518"	"TAL1"	"Primaryendothelialcells"
"chr2"	"1742797"	"1743087"	"291"	"*"	"Promoter (1-2kb)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"1765"	109	"SRX1116232"	"EP300"	"HUVEC"
"chr2"	"1742802"	"1742964"	"163"	"*"	"Promoter (1-2kb)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"1888"	245	"SRX3601960"	"FLI1"	"HUVEC"
"chr2"	"1742810"	"1743013"	"204"	"*"	"Promoter (1-2kb)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"1839"	141	"SRX2207669"	"NOTCH1"	"HUVEC"
"chr2"	"1742816"	"1743030"	"215"	"*"	"Promoter (1-2kb)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"1822"	129	"SRX7054670"	"RELA"	"HAEC"
"chr2"	"1742821"	"1743010"	"190"	"*"	"Promoter (1-2kb)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"1842"	104	"SRX7054614"	"RELA"	"HAEC"
"chr2"	"1742872"	"1743506"	"635"	"*"	"Promoter (1-2kb)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"1346"	84	"SRX2765965"	"HMGB2"	"HUVEC"
