"chr"	"start"	"end"	"width"	"strand"	"annotation"	"geneCh"	"geneStart"	"geneEnd"	"geneLen"	"geneStr"	"geneID"	"distanceToTSS"	"MACSqValue"	"SRX_ID"	"TF"	"cell_type"
"chr8"	"51663455"	"51664002"	"548"	"*"	"Intron (ENST00000356297.5/137902, intron 1 of 22)"	"8"	"51319577"	"51809445"	"489869"	"2"	"137902"	"145443"	592	"SRX3040158"	"SMC1A"	"Coronaryarteryendothelialcells"
"chr8"	"51663490"	"51663904"	"415"	"*"	"Intron (ENST00000356297.5/137902, intron 1 of 22)"	"8"	"51319577"	"51809445"	"489869"	"2"	"137902"	"145541"	789	"SRX7089226"	"CTCF"	"Rightatriumauricularregion"
"chr8"	"51663498"	"51663912"	"415"	"*"	"Intron (ENST00000356297.5/137902, intron 1 of 22)"	"8"	"51319577"	"51809445"	"489869"	"2"	"137902"	"145533"	797	"SRX7089227"	"CTCF"	"Rightatriumauricularregion"
"chr8"	"51663501"	"51663860"	"360"	"*"	"Intron (ENST00000356297.5/137902, intron 1 of 22)"	"8"	"51319577"	"51809445"	"489869"	"2"	"137902"	"145585"	465	"SRX13007593"	"CTCF"	"HeartVentricles"
"chr8"	"51663506"	"51663895"	"390"	"*"	"Intron (ENST00000356297.5/137902, intron 1 of 22)"	"8"	"51319577"	"51809445"	"489869"	"2"	"137902"	"145550"	762	"SRX13006719"	"CTCF"	"HeartVentricles"
"chr8"	"51663512"	"51663923"	"412"	"*"	"Intron (ENST00000356297.5/137902, intron 1 of 22)"	"8"	"51319577"	"51809445"	"489869"	"2"	"137902"	"145522"	408	"SRX13007592"	"CTCF"	"HeartVentricles"
"chr8"	"51663513"	"51663909"	"397"	"*"	"Intron (ENST00000356297.5/137902, intron 1 of 22)"	"8"	"51319577"	"51809445"	"489869"	"2"	"137902"	"145536"	503	"SRX13005477"	"CTCF"	"HeartVentricles"
"chr8"	"51663516"	"51663903"	"388"	"*"	"Intron (ENST00000356297.5/137902, intron 1 of 22)"	"8"	"51319577"	"51809445"	"489869"	"2"	"137902"	"145542"	1000	"SRX13009264"	"CTCF"	"HeartVentricles"
"chr8"	"51663521"	"51663871"	"351"	"*"	"Intron (ENST00000356297.5/137902, intron 1 of 22)"	"8"	"51319577"	"51809445"	"489869"	"2"	"137902"	"145574"	797	"SRX5090166"	"CTCF"	"Myocytes,Cardiac"
"chr8"	"51663521"	"51663915"	"395"	"*"	"Intron (ENST00000356297.5/137902, intron 1 of 22)"	"8"	"51319577"	"51809445"	"489869"	"2"	"137902"	"145530"	705	"SRX10475435"	"CTCF"	"HeartVentricles"
"chr8"	"51663522"	"51663918"	"397"	"*"	"Intron (ENST00000356297.5/137902, intron 1 of 22)"	"8"	"51319577"	"51809445"	"489869"	"2"	"137902"	"145527"	738	"SRX13009263"	"CTCF"	"HeartVentricles"
"chr8"	"51663525"	"51663890"	"366"	"*"	"Intron (ENST00000356297.5/137902, intron 1 of 22)"	"8"	"51319577"	"51809445"	"489869"	"2"	"137902"	"145555"	1000	"SRX13007648"	"CTCF"	"HeartVentricles"
"chr8"	"51663529"	"51663902"	"374"	"*"	"Intron (ENST00000356297.5/137902, intron 1 of 22)"	"8"	"51319577"	"51809445"	"489869"	"2"	"137902"	"145543"	728	"SRX5457151"	"CTCF"	"HeartVentricles"
