"chr"	"start"	"end"	"width"	"strand"	"annotation"	"geneCh"	"geneStart"	"geneEnd"	"geneLen"	"geneStr"	"geneID"	"distanceToTSS"	"MACSqValue"	"SRX_ID"	"TF"	"cell_type"
"chr2"	"1707761"	"1708276"	"516"	"*"	"Intron (ENST00000252804.9/7837, intron 1 of 22)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"36576"	477	"SRX7054611"	"RELA"	"HAEC"
"chr2"	"1707776"	"1708333"	"558"	"*"	"Intron (ENST00000252804.9/7837, intron 1 of 22)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"36519"	295	"SRX3040158"	"SMC1A"	"Coronaryarteryendothelialcells"
"chr2"	"1707782"	"1708250"	"469"	"*"	"Intron (ENST00000252804.9/7837, intron 1 of 22)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"36602"	655	"SRX7054661"	"RELA"	"HAEC"
"chr2"	"1707788"	"1708173"	"386"	"*"	"Intron (ENST00000252804.9/7837, intron 1 of 22)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"36679"	476	"SRX7054621"	"RELA"	"HAEC"
"chr2"	"1707791"	"1708457"	"667"	"*"	"Intron (ENST00000252804.9/7837, intron 1 of 22)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"36395"	398	"SRX8588626"	"SMARCA4"	"Pulmonaryarteryendothelialcells"
"chr2"	"1707800"	"1708301"	"502"	"*"	"Intron (ENST00000252804.9/7837, intron 1 of 22)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"36551"	829	"SRX7054666"	"RELA"	"HAEC"
"chr2"	"1707802"	"1708240"	"439"	"*"	"Intron (ENST00000252804.9/7837, intron 1 of 22)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"36612"	1000	"SRX5904135"	"TCF21"	"HCASMC"
"chr2"	"1707802"	"1708240"	"439"	"*"	"Intron (ENST00000252804.9/7837, intron 1 of 22)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"36612"	1000	"SRX7299332"	"TCF21"	"Coronaryarterysmoothmuscle"
"chr2"	"1707806"	"1708402"	"597"	"*"	"Intron (ENST00000252804.9/7837, intron 1 of 22)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"36450"	1000	"SRX2207673"	"RELA"	"HUVEC"
"chr2"	"1707808"	"1708307"	"500"	"*"	"Intron (ENST00000252804.9/7837, intron 1 of 22)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"36545"	433	"SRX7054618"	"RELA"	"HAEC"
"chr2"	"1707811"	"1708295"	"485"	"*"	"Intron (ENST00000252804.9/7837, intron 1 of 22)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"36557"	734	"SRX7054615"	"RELA"	"HAEC"
"chr2"	"1707815"	"1708255"	"441"	"*"	"Intron (ENST00000252804.9/7837, intron 1 of 22)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"36597"	421	"SRX7054664"	"RELA"	"HAEC"
"chr2"	"1707817"	"1708560"	"744"	"*"	"Intron (ENST00000252804.9/7837, intron 1 of 22)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"36292"	613	"SRX8588624"	"SMARCA4"	"Pulmonaryarteryendothelialcells"
"chr2"	"1707826"	"1708259"	"434"	"*"	"Intron (ENST00000252804.9/7837, intron 1 of 22)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"36593"	422	"SRX7054667"	"RELA"	"HAEC"
"chr2"	"1707831"	"1708297"	"467"	"*"	"Intron (ENST00000252804.9/7837, intron 1 of 22)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"36555"	312	"SRX7054609"	"RELA"	"HAEC"
"chr2"	"1707832"	"1708261"	"430"	"*"	"Intron (ENST00000252804.9/7837, intron 1 of 22)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"36591"	493	"SRX7054619"	"RELA"	"HAEC"
"chr2"	"1707837"	"1708300"	"464"	"*"	"Intron (ENST00000252804.9/7837, intron 1 of 22)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"36552"	1000	"SRX7054671"	"RELA"	"HAEC"
"chr2"	"1707839"	"1708223"	"385"	"*"	"Intron (ENST00000252804.9/7837, intron 1 of 22)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"36629"	393	"SRX5146789"	"TCF21"	"HCASMC"
"chr2"	"1707839"	"1708223"	"385"	"*"	"Intron (ENST00000252804.9/7837, intron 1 of 22)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"36629"	393	"SRX699732"	"TCF21"	"HCASMC"
"chr2"	"1707839"	"1708290"	"452"	"*"	"Intron (ENST00000252804.9/7837, intron 1 of 22)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"36562"	596	"SRX7054617"	"RELA"	"HAEC"
"chr2"	"1707841"	"1708238"	"398"	"*"	"Intron (ENST00000252804.9/7837, intron 1 of 22)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"36614"	397	"SRX7054670"	"RELA"	"HAEC"
"chr2"	"1707842"	"1708267"	"426"	"*"	"Intron (ENST00000252804.9/7837, intron 1 of 22)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"36585"	214	"SRX2671792"	"EP300"	"Cardiacprogenitorcells"
"chr2"	"1707843"	"1708117"	"275"	"*"	"Intron (ENST00000252804.9/7837, intron 1 of 22)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"36735"	213	"SRX7054665"	"RELA"	"HAEC"
"chr2"	"1707843"	"1708307"	"465"	"*"	"Intron (ENST00000252804.9/7837, intron 1 of 22)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"36545"	483	"SRX7054657"	"RELA"	"HAEC"
"chr2"	"1707845"	"1708510"	"666"	"*"	"Intron (ENST00000252804.9/7837, intron 1 of 22)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"36342"	431	"SRX8588623"	"SMARCA4"	"Pulmonaryarteryendothelialcells"
"chr2"	"1707846"	"1708218"	"373"	"*"	"Intron (ENST00000252804.9/7837, intron 1 of 22)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"36634"	249	"SRX7054616"	"RELA"	"HAEC"
"chr2"	"1707847"	"1708338"	"492"	"*"	"Intron (ENST00000252804.9/7837, intron 1 of 22)"	"2"	"1631887"	"1744852"	"112966"	"2"	"7837"	"36514"	1000	"SRX2207672"	"RELA"	"HUVEC"
